P(percent, student): 0.000749
P(enabl, student): 0.000749
P(homeless, student): 0.000749
P(protect, student): 0.000749
P(graduat, student): 0.000749
P(pro, vice): 0.000749
P(live, interact): 0.000749
P(student, often): 0.000748
P(post, secondari): 0.000748
P(mani, other): 0.000748
P(educ, environ): 0.000748
P(govern, announc): 0.000748
P(isbn, publish): 0.000747
P(graduat, rate): 0.000747
P(data, show): 0.000747
P(tabl, show): 0.000747
P(student, achiev): 0.000747
P(univers, must): 0.000747
P(lower, incom): 0.000747
P(vf, global): 0.000747
P(educ, move): 0.000746
P(student, expect): 0.000746
P(intern, relat): 0.000746
P(femal, leader): 0.000746
P(mani, district): 0.000746
P(school, age): 0.000746
P(fine, art): 0.000745
P(percent, percent): 0.000745
P(educ, women): 0.000745
P(teacher, ask): 0.000745
P(doctor, degre): 0.000745
P(research, knowledg): 0.000745
P(skill, knowledg): 0.000745
P(educ, resourc): 0.000745
P(univers, plan): 0.000744
P(year, cent): 0.000744
P(member, staff): 0.000744
P(univers, china): 0.000744
P(peopl, live): 0.000744
P(educ, qualiti): 0.000744
P(student, perform): 0.000744
P(academ, perform): 0.000744
P(top, perform): 0.000744
P(student, opportun): 0.000743
P(learn, opportun): 0.000743
P(million, million): 0.000743
P(financi, support): 0.000742
P(student, increas): 0.000742
P(corpor, train): 0.000742
P(higher, level): 0.000741
P(may, abl): 0.000741
P(learner, abl): 0.000741
P(repres, group): 0.000740
P(world, best): 0.000740
P(rank, rank): 0.000739
P(presid, said): 0.000739
P(depart, said): 0.000739
P(technolog, said): 0.000739
P(math, scienc): 0.000739
P(parent, educ): 0.000738
P(scienc, educ): 0.000738
P(invest, educ): 0.000738
P(decis, make): 0.000738
P(chief, data): 0.000738
P(univers, across): 0.000738
P(new, way): 0.000737
P(mani, academ): 0.000736
P(us, colleg): 0.000736
P(imperi, colleg): 0.000736
P(use, technolog): 0.000735
P(educ, offer): 0.000735
P(fasttrack, program): 0.000735
P(learn, world): 0.000735
P(emeritu, professor): 0.000734
P(specif, skill): 0.000734
P(educ, base): 0.000734
P(parent, help): 0.000732
P(could, help): 0.000732
P(student, help): 0.000732
P(say, may): 0.000732
P(school, state): 0.000730
P(two, countri): 0.000730
P(mena, countri): 0.000730
P(educ, includ): 0.000729
P(teacher, work): 0.000729
P(peopl, work): 0.000729
P(learn, could): 0.000728
P(help, us): 0.000728
P(tell, us): 0.000728
P(student, cours): 0.000726
P(train, cours): 0.000726
P(student, institut): 0.000724
P(countri, like): 0.000724
P(norton, say): 0.000724
P(would, use): 0.000723
P(mani, peopl): 0.000720
P(educ, peopl): 0.000720
P(long, time): 0.000720
P(student, mani): 0.000719
P(educ, mani): 0.000719
P(preschool, teacher): 0.000718
P(school, year): 0.000714
P(student, new): 0.000713
P(announc, new): 0.000713
P(skill, children): 0.000711
P(ensur, children): 0.000711
P(conduct, research): 0.000709
P(intern, research): 0.000709
P(institut, higher): 0.000708
P(level, higher): 0.000708
P(access, onlin): 0.000701
P(fulli, onlin): 0.000701
P(via, onlin): 0.000701
P(noncredit, onlin): 0.000701
P(two, univers): 0.000681
P(oxford, univers): 0.000681
P(kong, univers): 0.000681
P(ask, student): 0.000681
P(undergradu, student): 0.000681
P(program, student): 0.000681
P(impact, student): 0.000681
P(kid, learn): 0.000678
P(time, learn): 0.000678
P(continu, learn): 0.000678
P(virtual, learn): 0.000678
P(teacher, school): 0.000675
P(educ, school): 0.000675
P(rural, school): 0.000675
P(magnet, school): 0.000675
P(elli, bothwel): 0.000672
P(tripl, helix): 0.000672
P(iit, roorke): 0.000672
P(dr, lea): 0.000672
P(adapt, screenplay): 0.000672
P(san, francisco): 0.000672
P(susan, collin): 0.000672
P(ms, kantor): 0.000672
P(ms, gorman): 0.000672
P(nyu, abu): 0.000672
P(california, berkeley): 0.000672
P(gdp, capita): 0.000672
P(nick, hillman): 0.000672
P(turtl, bay): 0.000672
P(intellectu, properti): 0.000672
P(angela, rayner): 0.000672
P(cultur, linguist): 0.000671
P(high, stake): 0.000671
P(p, mountain): 0.000671
P(queen, mari): 0.000671
P(czech, republ): 0.000671
P(develop, educ): 0.000671
P(american, educ): 0.000671
P(technic, educ): 0.000671
P(digit, educ): 0.000671
P(music, educ): 0.000671
P(cs, educ): 0.000671
P(educ, lifelong): 0.000671
